time	V(out)
1.033195074511531e-04	1.004386e+00
1.037167895678851e-04	1.004346e+00
1.045113538013492e-04	1.004375e+00
1.054879163013492e-04	1.004370e+00
1.064644788013492e-04	1.004374e+00
1.074410413013492e-04	1.004371e+00
1.084176038013492e-04	1.004373e+00
1.093941663013492e-04	1.004372e+00
1.103707288013492e-04	1.004372e+00
1.113472913013492e-04	1.004372e+00
1.123238538013492e-04	1.004372e+00
1.133004163013492e-04	1.004373e+00
1.142769788013492e-04	1.004371e+00
1.152535413013492e-04	1.004373e+00
1.162301038013492e-04	1.004371e+00
1.172066663013492e-04	1.004373e+00
1.181832288013492e-04	1.004371e+00
1.191597913013492e-04	1.004373e+00
1.201363538013493e-04	1.004372e+00
1.211129163013493e-04	1.004373e+00
1.220894788013492e-04	1.004372e+00
1.230660413013492e-04	1.004372e+00
1.240426038013492e-04	1.004372e+00
1.250191663013492e-04	1.004372e+00
1.259957288013492e-04	1.004372e+00
1.269722913013492e-04	1.004372e+00
1.279488538013492e-04	1.004372e+00
1.289254163013492e-04	1.004372e+00
1.299019788013492e-04	1.004372e+00
1.308785413013492e-04	1.004372e+00
1.318551038013492e-04	1.004372e+00
1.328316663013492e-04	1.004372e+00
1.338082288013492e-04	1.004372e+00
1.347847913013492e-04	1.004372e+00
1.357613538013493e-04	1.004372e+00
1.367379163013493e-04	1.004372e+00
1.386910413013493e-04	1.004372e+00
1.396676038013493e-04	1.004372e+00
1.406441663013493e-04	1.004372e+00
1.416207288013493e-04	1.004372e+00
1.425972913013493e-04	1.004372e+00
1.435738538013493e-04	1.004372e+00
1.445504163013493e-04	1.004372e+00
1.455269788013493e-04	1.004372e+00
1.465035413013493e-04	1.004372e+00
1.474801038013493e-04	1.004372e+00
1.484566663013493e-04	1.004372e+00
1.494332288013493e-04	1.004372e+00
1.504097913013493e-04	1.004372e+00
1.513863538013493e-04	1.004372e+00
2.000000000000000e-04	1.004372e+00
2.000593783192569e-04	1.000549e+00
2.001781349577707e-04	9.959052e-01
2.003140068464952e-04	9.954959e-01
