v1	V(out)
3.250000000000002e-01	-7.845587e-01
3.260000000000002e-01	-7.845500e-01
3.270000000000002e-01	-7.845410e-01
3.280000000000002e-01	-7.845319e-01
3.290000000000002e-01	-7.845225e-01
3.300000000000002e-01	-7.845129e-01
3.310000000000002e-01	-7.845030e-01
3.320000000000002e-01	-7.844930e-01
3.330000000000002e-01	-7.844826e-01
3.340000000000002e-01	-7.844720e-01
3.350000000000002e-01	-7.844611e-01
3.360000000000002e-01	-7.844499e-01
3.370000000000002e-01	-7.844386e-01
3.380000000000002e-01	-7.844268e-01
3.390000000000002e-01	-7.844148e-01
3.400000000000002e-01	-7.844025e-01
3.410000000000002e-01	-7.843899e-01
3.420000000000002e-01	-7.843770e-01
3.430000000000002e-01	-7.843637e-01
3.440000000000003e-01	-7.843502e-01
3.450000000000003e-01	-7.843363e-01
3.460000000000003e-01	-7.843220e-01
3.470000000000003e-01	-7.843075e-01
3.480000000000003e-01	-7.842925e-01
3.490000000000003e-01	-7.842771e-01
3.500000000000003e-01	-7.842615e-01
3.510000000000003e-01	-7.842454e-01
3.520000000000003e-01	-7.842289e-01
3.530000000000003e-01	-7.842120e-01
3.540000000000003e-01	-7.841947e-01
3.550000000000003e-01	-7.841770e-01
3.560000000000003e-01	-7.841588e-01
3.570000000000003e-01	-7.841402e-01
3.580000000000003e-01	-7.841212e-01
3.590000000000003e-01	-7.841017e-01
3.600000000000003e-01	-7.840817e-01
3.610000000000003e-01	-7.840612e-01
3.620000000000003e-01	-7.840402e-01
3.630000000000003e-01	-7.840188e-01
3.640000000000003e-01	-7.839968e-01
3.650000000000003e-01	-7.839742e-01
3.660000000000003e-01	-7.839512e-01
3.670000000000003e-01	-7.839275e-01
3.680000000000003e-01	-7.839033e-01
3.690000000000003e-01	-7.838786e-01
3.700000000000003e-01	-7.838532e-01
3.710000000000003e-01	-7.838272e-01
3.720000000000003e-01	-7.838005e-01
3.730000000000003e-01	-7.837733e-01
3.740000000000003e-01	-7.837454e-01
3.750000000000003e-01	-7.837169e-01
3.760000000000003e-01	-7.836876e-01
3.770000000000003e-01	-7.836577e-01
3.780000000000003e-01	-7.836270e-01
3.790000000000003e-01	-7.835956e-01
3.800000000000003e-01	-7.835635e-01
3.810000000000003e-01	-7.835307e-01
3.820000000000003e-01	-7.834970e-01
3.830000000000003e-01	-7.834625e-01
3.840000000000003e-01	-7.834272e-01
3.850000000000003e-01	-7.833911e-01
3.860000000000003e-01	-7.833542e-01
3.870000000000003e-01	-7.833163e-01
3.880000000000003e-01	-7.832776e-01
3.890000000000003e-01	-7.832380e-01
3.900000000000003e-01	-7.831975e-01
3.910000000000003e-01	-7.831559e-01
3.920000000000003e-01	-7.831135e-01
3.930000000000003e-01	-7.830700e-01
3.940000000000003e-01	-7.830256e-01
3.950000000000003e-01	-7.829800e-01
3.960000000000003e-01	-7.829335e-01
3.970000000000003e-01	-7.828858e-01
3.980000000000003e-01	-7.828371e-01
3.990000000000003e-01	-7.827872e-01
4.000000000000003e-01	-7.827362e-01
4.010000000000003e-01	-7.826840e-01
4.020000000000003e-01	-7.826306e-01
4.030000000000003e-01	-7.825760e-01
4.040000000000003e-01	-7.825201e-01
4.050000000000003e-01	-7.824629e-01
4.060000000000003e-01	-7.824044e-01
4.070000000000003e-01	-7.823446e-01
