time	V(out)
8.066236023759983e-04	9.994693e-01
8.076001648759983e-04	9.994693e-01
8.857251648759983e-04	9.994693e-01
9.009999999999999e-04	9.994693e-01
9.010976562499999e-04	9.995550e-01
9.012929687499999e-04	9.998505e-01
9.016093750000000e-04	1.000619e+00
9.020000000000000e-04	1.001834e+00
9.020390625000001e-04	1.001966e+00
9.021171875000000e-04	1.002208e+00
9.022734375000000e-04	1.002599e+00
9.025859375000000e-04	1.003155e+00
9.030497022171564e-04	1.003678e+00
9.035711813600121e-04	1.004011e+00
9.042741085366343e-04	1.004238e+00
9.052506710366343e-04	1.004385e+00
9.062272335366343e-04	1.004447e+00
9.072037960366343e-04	1.004470e+00
9.081803585366343e-04	1.004479e+00
9.091569210366343e-04	1.004482e+00
9.101334835366343e-04	1.004483e+00
9.111100460366343e-04	1.004484e+00
9.120866085366343e-04	1.004484e+00
9.130631710366343e-04	1.004484e+00
9.140397335366343e-04	1.004484e+00
9.150162960366343e-04	1.004484e+00
9.159928585366343e-04	1.004484e+00
9.179459835366343e-04	1.004484e+00
9.198991085366343e-04	1.004484e+00
9.218522335366343e-04	1.004484e+00
9.238053585366343e-04	1.004484e+00
9.257584835366343e-04	1.004484e+00
9.277116085366343e-04	1.004484e+00
9.296647335366343e-04	1.004484e+00
9.996357365861094e-04	1.004484e+00
1.000000000000000e-03	1.004484e+00
